iter	Passed	Remaining
398	197061	296826
399	197506	296259
400	197977	295732
401	198494	295273
402	198965	294745
403	199494	294304
404	200022	293859
405	200552	293418
406	201066	292955
407	201580	292489
408	202090	292018
409	202604	291552
410	203114	291081
411	203607	290585
412	204135	290139
413	204627	289641
414	205098	289115
415	205614	288651
416	206143	288205
417	206648	287725
418	207158	287252
419	207611	286702
420	208099	286198
421	208566	285667
422	209040	285144
423	209485	284584
424	209913	284000
425	210396	283491
426	210859	282957
427	211343	282450
428	211797	281902
429	212241	281343
430	212770	280896
431	213208	280329
432	213681	279809
433	214149	279282
434	214625	278766
435	215092	278239
436	215562	277715
437	215991	277140
438	216441	276591
439	216905	276061
440	217326	275477
441	217793	274952
442	218251	274415
443	218698	273865
444	219155	273328
445	219656	272846
446	220107	272303
447	220590	271799
448	220997	271201
449	221466	270681
450	221975	270209
451	222450	269696
452	222917	269173
453	223386	268654
454	223839	268115
455	224250	267527
456	224749	267043
457	225213	266518
458	225685	266004
459	226126	265452
460	226589	264928
461	227119	264481
462	227516	263880
463	227975	263351
464	228409	262793
465	228855	262251
466	229291	261696
467	229750	261169
468	230167	260594
469	230588	260024
470	231061	259514
471	231476	258939
472	231926	258404
473	232333	257821
474	232770	257272
475	233216	256734
476	233651	256184
477	234076	255622
478	234460	255018
479	234887	254461
480	235301	253891
481	235788	253399
482	236269	252901
483	236766	252420
484	237238	251913
485	237686	251380
486	238160	250875
487	238672	250410
488	239127	249886
489	239596	249375
490	239894	248688
491	240345	248161
492	240801	247639
493	241216	247076
494	241727	246610
495	242209	246116
496	242667	245596
497	243152	245105
498	243645	244621
499	244128	244128
500	244617	243641
501	245145	243192
502	245628	242698
503	246083	242177
504	246596	241713
505	247041	241182
506	247593	240756
507	248095	240281
508	248608	239817
509	249146	239376
510	249683	238933
511	250125	238400
512	250598	237897
513	251074	237396
514	251562	236908
515	252000	236372
516	252432	235831
517	252873	235299
518	253300	234754
519	253761	234241
520	254189	233698
521	254652	233187
522	255149	232707
523	255611	232196
524	256086	231697
525	256549	231187
526	257014	230679
527	257487	230178
528	257980	229695
529	258450	229191
530	258932	228698
531	259365	228163
532	259809	227637
533	260268	227125
534	260720	226607
535	261158	226077
536	261592	225544
537	262049	225031
