iter	Logloss
0	0.6680154876
1	0.6470640423
2	0.6302277859
3	0.6170049766
4	0.605717733
5	0.5943283017
6	0.5855210318
7	0.5777150047
8	0.5705035535
9	0.5655031616
10	0.5609821002
11	0.55695845
12	0.5539554116
13	0.5498402345
14	0.54675489
15	0.5434959812
16	0.540499146
17	0.5375561581
18	0.5349646954
19	0.5328221107
20	0.5317862849
21	0.5292228378
22	0.5271841947
23	0.5256047582
24	0.5245191109
25	0.5235866542
26	0.5223959514
27	0.521642255
28	0.5203940949
29	0.518845632
30	0.5181031169
31	0.5168924183
32	0.515459044
33	0.5144514166
34	0.513902888
35	0.5131073304
36	0.5123894234
37	0.5113275524
38	0.5104251603
39	0.5097325303
40	0.5091267608
41	0.5086415387
42	0.5075535745
43	0.5069370078
44	0.5064660077
45	0.5055978837
46	0.5050422457
47	0.5047507209
48	0.5034604264
49	0.5028620832
50	0.5025784895
51	0.5019827232
52	0.5013619699
53	0.5003339997
54	0.4996889658
55	0.4992272812
56	0.4985402413
57	0.4982179551
58	0.497592584
59	0.4972813751
60	0.4968046167
61	0.4959637748
62	0.4954284537
63	0.4951056084
64	0.4948657609
65	0.4944563651
66	0.49400392
67	0.4936459196
68	0.4934576786
69	0.4929550491
70	0.4925461617
71	0.4922358862
72	0.4917276497
73	0.4913115056
74	0.491054639
75	0.4907102446
76	0.4900411084
77	0.4897602499
78	0.4893696665
79	0.488947825
80	0.4885992666
81	0.4881299102
82	0.4879374153
83	0.4877207959
84	0.4872839397
85	0.4870451861
86	0.4865734739
87	0.4862649761
88	0.4859618146
89	0.4854676612
90	0.4851853858
91	0.4849946748
92	0.4844871203
93	0.4841315216
94	0.4838580965
95	0.4836649167
96	0.4832523631
97	0.4829064189
98	0.482672502
99	0.4824607358
100	0.4820635658
101	0.4818013067
102	0.4816514481
103	0.4813268727
104	0.4811027999
105	0.480764214
106	0.4804688121
107	0.4802117206
108	0.4799338232
109	0.4797684212
110	0.4795409284
111	0.4792529272
112	0.4790623901
113	0.4788295858
114	0.4785625391
115	0.4783430159
116	0.4781683452
117	0.4778726843
118	0.4775689165
119	0.4773350419
120	0.4771255438
121	0.4768549811
122	0.4765902894
123	0.4764123586
124	0.4762375182
125	0.4760167785
126	0.4758641388
127	0.4756239591
128	0.4754396058
129	0.4751665464
130	0.4749453198
131	0.474708113
132	0.4744813759
133	0.4743651508
134	0.4740774617
135	0.4738614318
136	0.4736800228
137	0.4734835294
138	0.4733188702
139	0.4731359628
140	0.4729235963
141	0.4727492843
142	0.4725222967
143	0.472353703
144	0.4721666846
145	0.4719947967
146	0.4718074391
147	0.4716758054
148	0.4715535084
149	0.4712266971
150	0.4709378024
151	0.4706717476
152	0.4703564252
